linear-out,linear-in,linear-in-out,exponential-out,exponential-in,exponential-in-out,t
0.6913580246913575,0.19753086419753094,0.41700960219478794,0.8173713157065299,0.08136254518089199,0.3576156485387317,0.4444444444444445
0.7024793388429749,0.206611570247934,0.4320060105184078,0.8284310200560772,0.0887157705895425,0.3828668444712869,0.4545454545454546
0.7133965921844707,0.2158963371084584,0.44705807179024254,0.8391214620798745,0.09643754425503423,0.4084999796948165,0.4646464646464647
0.7241097847158449,0.2253851647791043,0.46215341868846677,0.84944166826818,0.10452911045474471,0.43443065906646805,0.4747474747474748
0.734618916437098,0.23507805325987158,0.47727968389125475,0.8593908911237456,0.11299155298426461,0.4605739759999923,0.48484848484848486
0.7449239873482294,0.24497500255076018,0.492424500076781,0.868968609161817,0.12182558108293369,0.48684751309199836,0.494949494949495
0.7550249974492395,0.2550760126517704,0.50757549992322,0.878174526910134,0.13103143083024577,0.5131631063103471,0.5050505050505051
0.7649219467401284,0.2653810835629019,0.5227203161087467,0.8870085749089303,0.14060909020058684,0.5394337008876995,0.5151515151515152
0.7746148352208954,0.27589021528415475,0.5378465813115345,0.895471017942222,0.15055829906323487,0.5655736838278389,0.5252525252525253
0.7841036628915413,0.28660340781552907,0.5529419282097587,0.9035627152535138,0.1608785491823602,0.5914988839056726,0.5353535353535354
0.7933884297520658,0.2975206611570249,0.5679939894815935,0.9112844981575668,0.1715690842170252,0.6171265716672314,0.5454545454545455
0.8024691358024688,0.30864197530864207,0.5829903978052134,0.9186376731715256,0.182628899721184,0.642375459429668,0.5555555555555556
0.8113457810427506,0.3199673502703807,0.5979187858587928,0.9256240838482983,0.19405674314368349,0.6671657012812593,0.5656565656565657
0.8200183654729106,0.33149678604224075,0.6127667863205061,0.9322461107765587,0.205851113828262,0.6914188930814047,0.5757575757575758
0.8284868890929492,0.3432302826242221,0.6275220318685277,0.9385066715807443,0.218010418020351,0.7150580724606269,0.5858585858585859
0.8367513519028668,0.355167840016325,0.6421721551810327,0.9444092209210576,0.23053293235624492,0.7380099961557712,0.595959595959596
0.8448117539026626,0.3673094582185492,0.6567047889361946,0.949957750493465,0.24341668932487656,0.7602092902535339,0.6060606060606061
0.8526680950923372,0.37965513723089495,0.6711075658121886,0.9551567890296978,0.25665963266764313,0.7815888808511564,0.6161616161616162
0.8603203754718903,0.392204877053362,0.6853681184871886,0.9600114022972515,0.2702596174551805,0.8020877173603354,0.6262626262626263
0.8677685950413222,0.4049586776859506,0.6994740796393696,0.9645272197443457,0.2842144100873649,0.8216514527214118,0.6363636363636365
0.8750127538006324,0.4179165391286605,0.7134130819469058,0.9687109140204754,0.29852168829331116,0.8402324434033699,0.6464646464646465
0.8820528517498211,0.43107846138149175,0.7271727580879715,0.9725697927533975,0.31317904113137407,0.8577897494038379,0.6565656565656566
0.8888888888888887,0.44444444444444453,0.7407407407407415,0.9761119002514603,0.32818396898914814,0.8742891342490879,0.6666666666666667
0.8955208652178347,0.4580144883175187,0.7541046625833898,0.9793461522582682,0.3435338835834664,0.8897030649940352,0.6767676767676768
0.9019487807366592,0.4717885930007144,0.7672521562940916,0.98228233595268,0.3592261079604026,0.9040107122222395,0.686868686868687
0.9081726354453624,0.48576675849403145,0.7801708545510205,0.9849311099488094,0.3752579144195101,0.9171979500459034,0.696969696969697
0.9141924293439444,0.49994898479746996,0.7928483900323517,0.9873040042960256,0.391626627460687,0.9292578010993443,0.7070707070707072
0.9200081624324046,0.5143352719110298,0.8052723954162591,0.9894134204789525,0.40832943496118485,0.9401957695940169,0.7171717171717172
0.9256198347107434,0.528925619834711,0.8174305033809174,0.9912726314174689,0.42536350060645245,0.9500276310538456,0.7272727272727273
0.9310274461789609,0.5437200285685138,0.829310346604501,0.9928957813050224,0.4427259777032959,0.9587776147273873,0.7373737373737375
0.936230996837057,0.5587184981124377,0.8408995577651845,0.9942977285062444,0.46041400917987807,0.9664786603322038,0.7474747474747475
0.9412304866850318,0.5739210284664833,0.8521857695411423,0.995494374044817,0.4784247275857196,0.9731724180548619,0.7575757575757577
0.9460259157228852,0.5893276196306502,0.8631566146105485,0.9965022839272085,0.496755255091698,0.9789092485509333,0.7676767676767677
0.9506172839506171,0.6049382716049384,0.8737997256515783,0.9973383442060674,0.5154027034900485,0.9837482229449948,0.7777777777777778
0.9550045913682275,0.6207529843893483,0.8841027353424054,0.9980197609802215,0.5343641741943636,0.9877571228306281,0.787878787878788
0.9591878379757166,0.6367717579838793,0.8940532763612049,0.9985640603946793,0.5536367582395925,0.9910124402704199,0.797979797979798
0.963167023773084,0.6529945923885322,0.9036389813861506,0.9989890695534116,0.5732175362820424,0.9935930386063623,0.8080808080808082
0.9669421487603305,0.6694214876033059,0.9128474830954174,0.999312046129822,0.5931035785993775,0.9955830244551415,0.8181818181818182
0.9705132129374552,0.6860524436282015,0.9216664141671802,0.9995501641009129,0.613291949719548,0.9970751964670043,0.8282828282828284
0.9738802163044584,0.7028874604632184,0.9300834072796123,0.99971960206366,0.6337797847224956,0.9981558631542531,0.8383838383838385
0.9770431588613404,0.7199265381083563,0.9380860951108889,0.9998349618686798,0.6545641943541152,0.9989046741120158,0.8484848484848485
0.9800020406081011,0.7371696765636161,0.9456621103391847,0.9999092686202303,0.6756422845241992,0.9993946200182444,0.8585858585858587
0.9827568615447402,0.7546168758289971,0.9527990856426736,0.9999539706762111,0.69701118159339,0.9996920326337164,0.8686868686868687
0.985307621671258,0.7722681359044997,0.9594846536995304,0.9999789569973915,0.7186680323731814,0.9998565848020338,0.8787878787878789
0.987654320987654,0.7901234567901237,0.9657064471879291,0.9999920196104282,0.7406100041259167,0.9999412516464388,0.888888888888889
0.9897969594939291,0.8081828384858692,0.9714520987860445,0.9999977604101327,0.762834284564791,0.9999842273092411,0.8989898989898991
0.9917355371900825,0.8264462809917358,0.9767092411720516,0.9999995043098414,0.7853380818538482,1.0,0.9090909090909092
0.9934700540761143,0.844913784307724,0.9814655070241239,0.9999996318212752,0.8081186246079847,1.0,0.9191919191919192
0.9950005101520252,0.8635853484338336,0.9857085290204362,0.9999995790545392,0.8311731618929462,1.0,0.9292929292929294
0.9963269054178145,0.8824609733700646,0.9894259398391632,0.9999998377181224,0.8544989632253291,0.9999981917469077,0.9393939393939394
0.9974492398734822,0.9015406591164171,0.9926053721584793,0.99999999988137,0.8780933185725809,0.9999971505218512,0.9494949494949496
0.9983675135190286,0.9208244056728907,0.9952344586565587,1.0,0.9019535383529987,0.9999986347885782,0.9595959595959597
0.9990817263544536,0.9403122130394861,0.997300832011576,1.0,0.926076953435731,0.999999999999999,0.9696969696969697
0.9995918783797573,0.9600040812162028,0.9987921249017058,0.9999999999932219,0.9504609151407766,1.0,0.9797979797979799
0.9998979695949393,0.9799000102030406,0.9996959700051222,0.999999999984262,0.9751027952389841,0.9999999999999999,0.98989898989899
1.0,1.0,1.0,1.0,1.0,1.0,1.0
